2674 2265
7 7 0
9 7 0
8 6 0
8 8 0
8 7 0
8 27 0
10 27 0
9 26 0
9 28 0
9 27 0
20 15 0
22 15 0
21 14 0
21 16 0
21 15 0
18 7 0
20 7 0
19 6 0
19 8 0
19 7 0
4 6 0
6 6 0
5 5 0
5 7 0
5 6 0
12 26 0
14 26 0
13 25 0
13 27 0
13 26 0
27 14 0
29 14 0
28 13 0
28 15 0
28 14 0
15 6 0
17 6 0
16 5 0
16 7 0
16 6 0
16 16 0
18 16 0
17 15 0
17 17 0
17 16 0
9 25 0
11 25 0
10 24 0
10 26 0
10 25 0
3 4 0
5 4 0
4 3 0
4 5 0
4 4 0
18 28 0
20 28 0
19 27 0
19 29 0
19 28 0
19 28 1
10 8 0
12 8 0
11 7 0
11 9 0
11 8 0
28 18 0
30 18 0
29 17 0
29 19 0
29 18 0
30 14 0
29 13 0
29 15 0
4 29 0
6 29 0
5 28 0
5 30 0
5 29 0
19 15 0
20 14 0
20 16 0
25 4 0
27 4 0
26 3 0
26 5 0
26 4 0
13 23 0
15 23 0
14 22 0
14 24 0
14 23 0
29 2 0
30 1 0
30 3 0
30 2 0
30 2 1
17 30 0
19 30 0
18 29 0
18 30 0
29 12 0
30 11 0
30 13 0
30 12 0
19 16 0
20 17 0
6 5 0
8 5 0
7 4 0
7 6 0
7 5 0
5 14 0
7 14 0
6 13 0
6 15 0
6 14 0
5 10 0
7 10 0
6 9 0
6 11 0
6 10 0
20 26 0
22 26 0
21 25 0
21 27 0
21 26 0
19 18 0
21 18 0
20 19 0
20 18 0
20 1 0
22 1 0
21 2 0
21 1 0
27 17 0
28 16 0
28 17 0
28 17 1
9 4 0
11 4 0
10 3 0
10 5 0
10 4 0
14 7 0
15 8 0
15 7 0
3 15 0
5 15 0
4 14 0
4 16 0
4 15 0
3 25 0
5 25 0
4 24 0
4 26 0
4 25 0
2 15 0
1 14 0
1 16 0
1 15 0
13 12 0
15 12 0
14 11 0
14 13 0
14 12 0
27 18 0
28 19 0
28 18 1
24 4 0
25 3 0
25 5 0
28 2 0
29 1 0
29 3 0
21 11 0
23 11 0
22 10 0
22 12 0
22 11 0
4 11 0
5 12 0
5 11 0
17 23 0
19 23 0
18 22 0
18 24 0
18 23 0
4 18 0
6 18 0
5 17 0
5 19 0
5 18 0
2 26 0
1 25 0
1 27 0
1 26 0
15 11 0
17 11 0
16 10 0
16 12 0
16 11 0
2 18 0
3 17 0
3 19 0
3 18 0
28 5 0
27 6 0
27 5 0
27 5 1
7 15 0
9 15 0
8 14 0
8 16 0
8 15 0
27 12 0
28 11 0
28 12 0
27 30 0
29 30 0
28 29 0
28 30 0
9 23 0
11 23 0
10 22 0
10 23 0
2 22 0
4 22 0
3 21 0
3 23 0
3 22 0
11 10 0
13 10 0
12 9 0
12 11 0
12 10 0
12 10 1
11 11 0
13 11 0
12 12 0
15 2 0
17 2 0
16 1 0
16 3 0
16 2 0
24 10 0
23 9 0
23 10 0
23 10 1
28 9 0
30 9 0
29 8 0
29 10 0
29 9 0
29 9 1
1 17 0
2 16 0
2 17 0
3 27 0
5 27 0
4 28 0
4 27 0
18 19 0
19 20 0
19 19 0
19 19 1
27 27 0
29 27 0
28 26 0
28 28 0
28 27 0
30 4 0
9 12 0
11 12 0
10 11 0
10 13 0
10 12 0
29 25 0
30 24 0
30 26 0
30 25 0
6 16 0
5 16 0
12 24 0
13 24 0
5 21 0
7 21 0
6 20 0
6 22 0
6 21 0
15 18 0
17 18 0
16 17 0
16 19 0
16 18 0
20 6 0
22 6 0
